timestamp_ms,foreign,hint_faults,hint_faults_local,hit,huge_pte_updates,interleave,local,miss,other,pages_migrated,pte_updates
1438801678717.42,0,385.059955806116,316.775102051571,7289.82450935713,72.6151127731256,0,6429.76844889745,0,860.05606045968,2066.53284240583,37613.6291259363
1438801681719.46,0,250.829432719742,201.862730714693,9076.16142538489,187.539137611175,0,9076.16142538489,0,0,8016.54864254093,96164.6068152223
1438801684721.8,0,1008.54663740889,725.434140117755,6304.08263085801,502.941024599545,0,6303.08341027934,0,0.999220578674593,10773.2632057432,258020.070119458
1438801687724.53,0,1047.38022414824,817.589332363729,91651.930673113,806.266302913478,0,91651.5976428351,0,0.333030277948566,10097.1449971226,415095.266010374
1438801690727.02,0,1628.31517037576,1286.59879385591,93157.3463724241,1112.41003662406,0,93157.0133155269,0,0.333056897192833,22046.0351958852,571843.371862823
1438801693729.44,0,1371.56031040066,1096.44889311291,85575.6378806419,648.143847508423,0,85575.6378806419,0,0,12694.7598909473,332360.238063177
1438801696732.16,0,1463.00688804202,1108.66149107486,85604.053161111,814.261743970575,0,85603.3870983348,0,0.666062776254049,15941.5464868644,417791.87278201
1438801699734.62,0,1309.92577132181,1099.09866396185,93625.2209186851,810.335469520967,0,93624.8878584839,0,0.333060201200562,19300.1725391702,415585.191733634
1438801702737.36,0,1532.6002301121,1292.48620014451,89250.1518185336,871.204302905964,0,89249.8187893658,0,0.333029167777509,17081.732073644,446644.399568981
1438801705739.93,0,1707.87035779735,1351.17590514506,84622.1786253084,1085.73661591641,0,84622.1786253084,0,0,29873.0771476192,556653.832499927
1438801708742.45,0,2091.90944911021,1632.62858136256,86489.6814378417,1181.67405276915,0,86488.6822771432,0,0.999160698508301,42860.6634303444,605872.729629294
1438801711745.3,0,1931.16533007298,1373.69494508554,87984.4119445767,1182.54321212091,0,87984.0789276204,0,0.333016956384372,53806.5486938922,606130.822654324
1438801714747.84,0,1942.68849844256,1314.22060943843,83092.9801948285,1149.02714205843,0,83091.6479894464,0,1.33220538209673,64032.118639134,589439.933181574
1438801717750.54,0,1843.67405669003,1389.74924829615,89605.0236038383,1124.65449592526,0,89604.3575366213,0,0.666067217012293,30555.833580439,576512.814516948
