timestamp_ms,dma,dma32,movable,normal
1438801678717.42,0,210.517207672548,0,9236.77558348061
1438801681719.46,0,138.239328789765,0,17137.6794881345
1438801684721.8,0,1140.77682732016,0,26081.9886180905
1438801687724.53,0,1101.9971897318,0,101706.447794658
1438801690727.02,0,1517.74028050774,0,115406.2132187
1438801693729.44,0,985.871422726069,0,99357.1877892768
1438801696732.16,0,647.413018518936,0,101758.406704989
1438801699734.62,0,1355.55501888629,0,112179.338607166
1438801702737.36,0,1637.83744712979,0,105417.718826628
1438801705739.93,0,1915.02623972987,0,114319.406406914
1438801708742.45,0,1656.27538456059,0,128743.188217059
1438801711745.3,0,3410.42665033236,0,140684.012275447
1438801714747.84,0,3715.52081066779,0,145011.554995266
1438801717750.54,0,1749.09251187428,0,120202.486385341
