timestamp_ms,fail,success
1438801678717.42,0,2066.53284240583
1438801681719.46,0,8016.54864254093
1438801684721.8,0,10773.2632057432
1438801687724.53,170.511502309666,10097.1449971226
1438801690727.02,1364.20105090184,22046.0351958852
1438801693729.44,1023.17466574814,12694.7598909473
1438801696732.16,511.53621216311,15941.5464868644
1438801699734.62,170.526823014688,19300.1725391702
1438801702737.36,0,17081.732073644
1438801705739.93,682.082389385525,29873.0771476192
1438801708742.45,852.61712939375,42860.6634303444
1438801711745.3,1705.04681668799,53806.5486938922
1438801714747.84,1364.17831126706,64032.118639134
1438801717750.54,1364.10566044118,30555.833580439
